%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
83295.723,302.191,0.960,0.875,0.367,-0.536,-3.459,-1.115,0.535,1.255,0.324,-1.764,-2.563,-3.103,-0.781,-0.208,2.536,-2.761,3.770,1.256,-0.415,-1.125,-2.095,0.032,-0.130,0.001,535.048,336.269
83303.785,302.189,0.960,0.660,0.209,-0.696,-3.783,-1.560,1.178,0.836,0.108,-2.075,-2.242,-2.782,-1.228,1.044,2.219,-3.186,3.246,1.256,0.104,-1.688,-2.106,-0.007,-0.140,0.000,535.048,336.269
83311.848,302.186,0.960,0.775,0.288,-0.536,-2.918,-2.229,0.749,1.045,-0.000,-1.660,-2.776,-2.782,-0.893,1.148,3.698,-3.823,3.875,1.570,-0.104,-2.026,-2.095,0.012,-0.140,0.001,535.048,336.269
83303.785,302.188,0.960,0.521,0.130,-0.856,-3.567,-1.226,0.214,0.941,0.216,-2.283,-2.456,-3.103,-0.112,0.522,3.064,-2.442,2.827,1.779,0.000,-1.463,-2.075,-0.007,-0.109,0.001,535.048,336.269
83303.785,302.189,0.960,0.660,0.209,-0.536,-3.675,-1.003,0.749,1.255,0.649,-1.868,-2.563,-2.996,-0.781,1.044,3.381,-3.186,3.875,0.837,-0.104,-0.788,-2.147,0.012,-0.130,0.001,535.048,336.269
83303.785,302.189,0.960,0.775,0.288,-0.376,-3.459,-1.672,0.856,1.359,0.216,-1.764,-2.349,-3.745,-0.447,1.252,3.381,-3.929,3.560,2.512,-0.518,-1.013,-2.095,-0.007,-0.130,0.001,535.048,336.269
83311.848,302.189,0.960,0.660,0.209,-0.216,-3.134,-1.115,1.285,1.464,1.081,-1.660,-2.349,-2.889,-0.335,1.461,2.958,-2.442,3.665,1.570,0.311,-1.688,-2.095,0.032,-0.130,0.001,535.048,336.269
83307.817,302.188,0.960,0.775,0.288,-0.216,-3.243,-1.003,0.321,0.732,0.973,-1.453,-2.563,-3.103,0.336,0.209,3.275,-2.655,3.875,2.302,-0.104,-0.788,-2.106,-0.007,-0.140,-0.000,535.048,336.269
83303.785,302.189,0.960,0.775,0.288,-0.216,-3.567,-1.226,1.070,1.255,0.973,-0.934,-2.136,-2.568,-0.223,1.774,2.747,-2.761,3.770,1.570,0.208,-0.788,-2.085,0.012,-0.130,0.001,535.048,336.269
83311.848,302.189,0.960,0.775,0.288,-0.376,-2.918,-1.337,0.642,1.464,0.541,-1.245,-2.136,-2.675,-0.446,1.461,3.592,-3.292,3.979,1.988,0.311,-0.450,-2.095,0.032,-0.140,0.001,535.048,336.269
83295.723,302.191,0.960,0.660,0.209,-0.056,-3.243,-1.226,1.070,1.255,1.298,-1.660,-2.029,-2.782,-0.446,1.148,2.852,-2.761,3.142,2.198,0.000,-1.125,-2.106,0.012,-0.119,0.001,535.048,336.269
83299.754,302.189,0.960,0.521,0.130,0.264,-3.134,-1.115,0.856,1.046,0.324,-1.245,-3.310,-2.461,-0.223,0.939,3.697,-2.336,4.084,1.465,0.000,-1.125,-2.106,0.012,-0.130,0.001,535.048,336.269
83295.723,302.188,0.960,0.660,0.209,0.104,-3.567,-1.115,1.820,1.673,0.757,-1.972,-1.815,-3.424,-0.446,1.461,2.852,-3.079,3.875,2.407,0.208,-0.675,-2.085,0.032,-0.130,0.001,535.048,336.269
83303.785,302.193,0.960,0.327,0.051,-0.856,-2.594,-2.229,1.070,1.046,0.865,-1.868,-2.136,-2.782,-1.005,0.835,3.486,-3.079,3.770,2.302,0.415,-0.788,-2.095,0.032,-0.099,0.000,535.048,336.269
83303.785,302.189,0.960,0.521,0.130,-0.056,-3.243,-1.226,0.428,1.464,0.865,-1.660,-2.456,-2.889,0.000,0.313,3.380,-2.867,3.142,1.988,0.104,-0.675,-2.095,-0.007,-0.130,-0.000,535.048,336.269
83299.754,302.189,0.960,0.660,0.209,-0.376,-2.918,-1.449,1.285,0.523,1.081,-1.349,-2.349,-2.461,0.336,1.252,3.063,-2.973,3.456,1.151,0.104,-1.013,-2.106,0.012,-0.119,0.001,535.048,336.269
83299.754,302.186,0.960,0.521,0.130,0.104,-2.918,-1.783,0.749,1.359,-0.108,-1.764,-1.922,-2.461,-0.446,1.774,3.486,-3.504,3.979,2.407,-0.311,-0.450,-2.095,-0.007,-0.140,0.001,535.048,336.269
83303.785,302.186,0.960,0.521,0.130,-0.216,-2.810,-1.337,1.178,1.359,1.622,-1.868,-2.136,-2.568,-0.781,1.461,3.486,-2.973,3.142,1.779,-0.415,-1.351,-2.095,0.012,-0.130,0.001,535.048,336.269
83307.817,302.189,0.960,0.521,0.130,-0.056,-2.810,-1.449,0.535,0.836,0.757,-1.764,-2.349,-3.103,0.000,0.731,3.697,-3.079,3.351,1.151,0.104,-0.338,-2.106,-0.007,-0.130,0.002,535.048,336.269
83307.817,302.189,0.960,0.521,0.130,-0.216,-3.459,-1.449,1.285,0.836,1.190,-2.075,-1.815,-3.210,-0.335,1.148,2.324,-3.186,3.770,1.779,0.311,-1.238,-2.116,0.012,-0.119,0.001,535.048,336.269
83303.785,302.197,0.960,0.521,0.130,-0.376,-2.378,-1.003,1.178,1.045,0.865,-1.556,-1.922,-2.247,-0.112,1.252,3.803,-2.442,3.979,1.988,0.831,-1.801,-0.086,0.051,0.013,0.000,535.048,336.269
83307.817,302.199,0.960,0.000,-0.028,-0.376,-2.918,-0.780,1.178,1.045,0.865,-1.556,-2.029,-2.568,-0.447,1.252,3.803,-2.761,4.189,1.675,0.519,-0.225,-0.086,0.051,0.013,0.001,535.048,336.269
83303.785,302.197,0.960,0.327,0.051,0.264,-3.026,-1.115,1.284,1.464,0.865,-1.141,-2.029,-2.889,0.224,1.566,3.381,-2.655,4.608,2.198,0.415,-1.125,-0.086,0.032,0.003,0.001,535.048,336.269
