%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
83227.189,301.628,0.961,0.552,0.146,0.376,-2.378,-0.557,1.392,1.777,1.406,-1.868,-1.602,-2.14,0.671,1.775,4.12,-2.23,3.769,1.884,0.623,-0.788,-6.093,0.156,-0.434,0.002,535.048,336.269
83231.22,301.628,0.961,0.552,0.146,0.536,-2.594,-0.334,1.284,1.568,0.865,-0.83,-2.242,-2.461,0.224,1.67,4.332,-1.805,4.083,2.302,0.415,0,-6.093,0.194,-0.434,0.001,535.048,336.269
83227.189,301.628,0.961,0.374,0.067,0.216,-3.351,-0.223,2.141,1.987,1.514,-0.934,-1.281,-2.889,0,1.983,3.486,-2.124,4.397,2.616,0.831,0,-6.083,0.156,-0.424,0.001,535.048,336.269
83235.252,301.628,0.961,0.374,0.067,0.216,-2.486,-1.003,1.606,1.673,1.19,-1.245,-1.602,-1.712,-0.112,1.461,4.754,-2.867,4.083,2.721,0.727,-0.675,-6.083,0.175,-0.424,0.002,535.048,336.269
83227.189,301.63,0.961,0.552,0.146,0.216,-2.918,-0.334,1.177,1.777,1.298,-1.453,-1.602,-2.247,0.559,1.044,4.437,-2.336,3.35,2.302,0.727,-0.563,-6.103,0.175,-0.424,0.001,535.048,336.269
83235.252,301.627,0.961,0.552,0.146,0.056,-3.242,-0.557,1.713,1.673,1.081,-0.623,-2.349,-2.354,0,1.983,4.226,-2.549,4.083,1.674,0.519,0.451,-6.083,0.156,-0.434,0.001,535.048,336.269
83235.252,301.628,0.961,0.552,0.146,0.216,-3.026,-0.892,1.713,1.673,1.514,-1.349,-1.068,-2.996,0.559,2.192,3.803,-2.124,4.293,2.512,0.311,-0.113,-6.083,0.194,-0.444,0.001,535.048,336.269
83223.158,301.623,0.961,0.552,0.146,0.056,-3.026,-1.449,1.284,1.673,1.19,-0.83,-1.708,-1.819,-0.335,1.67,4.437,-2.336,4.188,3.244,1.142,-0.675,-6.103,0.156,-0.424,0.001,535.048,336.269
83231.22,301.635,0.961,0,-0.012,-0.104,-2.918,-1.115,1.927,2.091,1.081,-1.868,-1.281,-2.675,-0.67,1.566,4.648,-1.805,3.874,2.093,0.831,-0.45,-3.959,0.137,-0.292,0.001,535.048,336.269
83231.22,301.638,0.961,0.374,0.067,-0.424,-3.242,-0.557,1.177,1.673,1.298,-0.727,-1.922,-1.926,0.224,1.044,4.226,-2.336,3.664,1.884,1.142,0.113,-3.927,0.175,-0.282,0.001,535.048,336.269
83231.22,301.638,0.961,0.374,0.067,-0.104,-3.999,-1.226,1.82,1.882,0.865,-1.245,-1.495,-2.782,-0.112,2.088,3.486,-1.593,4.188,2.198,0.831,0.451,-3.969,0.137,-0.282,0.002,535.048,336.269
83235.252,301.638,0.961,0.374,0.067,-0.104,-3.242,-1.56,1.284,2.196,0.649,-1.142,-1.708,-2.461,-0.335,1.774,4.437,-2.655,3.769,2.512,0.415,-0.113,-3.959,0.137,-0.302,0.002,535.048,336.269
83235.252,301.638,0.961,0.374,0.067,0.056,-2.81,-0.557,1.499,1.673,1.19,-2.18,-2.136,-2.247,0.224,1.253,4.12,-2.23,3.036,2.407,0.831,-0.675,-3.948,0.194,-0.271,0.001,535.048,336.269
83223.158,301.635,0.961,0.374,0.067,-0.104,-2.81,-0.669,1.606,1.777,1.19,-0.83,-2.563,-1.926,0.336,1.774,3.803,-2.549,3.979,1.465,0.519,-0.113,-3.959,0.137,-0.282,0.001,535.048,336.269
83227.189,301.641,0.961,0.374,0.067,-0.264,-3.891,-1.003,1.07,1.673,0.649,-1.661,-1.602,-3.852,0.336,2.088,4.015,-2.23,4.083,2.407,0.208,-0.113,-3.959,0.156,-0.282,0.001,535.048,336.269
83231.22,301.638,0.961,0.685,0.225,-0.104,-3.026,-1.783,1.07,1.255,1.514,-1.557,-1.708,-2.14,-0.893,1.461,4.015,-2.761,3.664,2.617,0.623,0.226,-3.917,0.156,-0.292,0.001,535.048,336.269
83231.22,301.643,0.961,0.796,0.304,-0.104,-3.134,-0.78,0.214,1.568,0.649,-1.972,-1.815,-2.675,0.336,1.044,3.381,-2.443,3.56,2.093,0.415,-0.338,-3.948,0.137,-0.282,0.002,535.048,336.269
83219.126,301.641,0.961,0.796,0.304,-0.264,-3.242,-1.449,1.392,1.046,0.973,-1.661,-2.136,-2.996,-0.447,1.566,3.698,-2.655,3.874,1.151,0.311,-0.338,-3.959,0.117,-0.282,0.001,535.048,336.269
83227.189,301.641,0.961,0.796,0.304,-0.264,-3.026,-0.892,1.499,1.882,0.541,-1.764,-1.708,-2.996,0.336,1.357,4.332,-2.443,3.979,2.093,0,-0.225,-3.948,0.156,-0.302,0.002,535.048,336.269
83235.252,301.643,0.961,0.552,0.146,-0.104,-3.134,-0.446,0.856,1.359,0.973,-1.661,-2.349,-2.461,0.112,1.461,4.332,-2.23,3.769,2.721,0.623,-0.675,-3.959,0.175,-0.282,0.002,535.048,336.269
83231.22,301.638,0.961,0.685,0.225,-0.264,-3.026,-0.78,1.284,1.464,1.406,-0.934,-1.815,-2.889,0.559,1.566,3.909,-2.549,4.083,2.198,0.208,0.79,-3.948,0.117,-0.302,0.002,535.048,336.269
83231.22,301.643,0.961,0.796,0.304,-0.584,-3.242,-0.78,1.606,1.255,1.622,-0.934,-1.175,-2.782,-0.112,2.401,4.015,-1.593,4.083,2.407,0.934,0.338,-3.938,0.137,-0.282,0.001,535.048,336.269
83231.22,301.644,0.961,0.893,0.383,-0.104,-3.026,-1.337,1.284,1.777,0.973,-1.245,-1.495,-2.782,0.112,1.67,4.543,-2.761,3.769,2.407,0.311,0.226,-3.959,0.137,-0.282,0.001,535.048,336.269
83227.189,301.641,0.961,0.893,0.383,-0.264,-2.378,-0.78,1.499,1.673,1.514,-1.868,-1.388,-2.247,0.447,1.775,4.332,-1.912,3.664,2.198,1.142,-0.675,-3.938,0.137,-0.282,0.002,535.048,336.269
83231.22,301.641,0.961,0.796,0.304,-0.264,-2.486,-0.334,1.82,1.882,1.406,-0.934,-1.922,-2.568,0.559,1.983,4.543,-1.912,4.607,2.093,1.35,0.451,-3.948,0.117,-0.292,0.002,535.048,336.269
83235.252,301.643,0.961,0.893,0.383,-0.424,-3.567,-0.78,1.499,1.882,1.73,-0.623,-0.961,-2.782,0.112,1.775,4.226,-1.805,3.874,2.93,0.934,-0.225,-3.938,0.156,-0.282,0.001,535.048,336.269
83235.252,301.641,0.961,0.796,0.304,-0.264,-2.594,-1.672,1.606,1.987,1.514,-1.349,-1.495,-1.926,0.336,1.879,4.437,-2.018,4.607,3.035,1.246,-0.113,-3.927,0.137,-0.302,0.001,535.048,336.269
83227.189,301.644,0.961,0.981,0.462,0.056,-3.026,-0.334,1.177,2.405,1.298,-1.453,-1.815,-2.461,0.783,1.461,3.909,-1.912,3.769,2.721,0.727,0,-3.948,0.137,-0.282,0.002,535.048,336.269
83231.22,301.654,0.961,0.981,0.462,-0.104,-3.783,-1.449,1.713,1.15,0.865,-1.245,-2.136,-2.568,-0.112,2.296,3.381,-2.655,3.979,1.779,0.519,0.338,-2.043,0.175,-0.18,0,535.048,336.269
83231.22,301.656,0.961,0.685,0.225,0.056,-2.918,-1.337,1.606,1.882,0.433,-1.661,-1.708,-1.926,0,1.879,4.226,-3.292,4.083,2.302,-0.207,-0.113,-2.032,0.156,-0.16,0.001,535.048,336.269
83235.252,301.656,0.961,0.685,0.225,0.216,-3.134,-1.115,1.499,1.464,1.514,-2.076,-1.815,-2.033,0.447,2.088,3.909,-1.593,3.769,2.093,1.142,-1.013,-2.043,0.156,-0.17,0.001,535.048,336.269
83227.189,301.654,0.961,0.796,0.304,0.056,-3.242,-1.003,1.177,1.15,0.973,-1.349,-1.815,-2.568,-0.223,0.939,4.226,-2.124,4.083,1.884,0.415,0.113,-2.053,0.137,-0.16,0.001,535.048,336.269
