%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
83247.346,301.696,0.961,0.566,0.154,0.016,-2.810,-0.223,1.713,2.091,1.190,-1.038,-1.175,-2.889,0.559,1.670,3.698,-1.912,4.083,2.826,0.623,0.451,-16.046,0.002,-0.984,0.004,535.048,336.269
83247.346,301.697,0.961,0.000,-0.083,-0.144,-3.459,-0.669,1.606,2.091,1.081,-1.245,-1.495,-2.889,0.112,1.983,4.332,-2.336,4.083,2.721,-0.000,-0.000,-14.026,0.002,-0.883,0.003,535.048,336.269
83247.346,301.699,0.961,0.000,-0.083,0.016,-2.702,-1.560,1.499,2.300,1.406,-1.349,-1.602,-2.354,-0.446,1.670,4.015,-1.912,4.083,2.512,0.727,-0.113,-14.016,0.002,-0.873,0.003,535.048,336.269
83243.315,301.699,0.961,0.000,-0.004,-0.304,-2.810,-0.446,0.963,1.987,1.514,-0.830,-2.029,-2.354,0.783,1.044,4.543,-1.912,3.560,2.617,0.727,-0.000,-14.047,0.021,-0.883,0.004,535.048,336.269
83247.346,301.699,0.961,0.000,-0.162,0.016,-3.134,-1.003,1.713,1.464,1.730,-1.142,-1.281,-2.354,0.224,1.983,4.120,-1.699,4.188,2.093,1.038,-0.000,-14.016,0.060,-0.893,0.003,535.048,336.269
83247.346,301.701,0.961,0.000,-0.083,-0.144,-2.810,-0.892,1.284,1.987,0.324,-1.245,-1.815,-2.568,-0.000,1.461,4.226,-2.124,3.769,2.617,0.311,-0.000,-14.016,0.021,-0.873,0.003,535.048,336.269
83247.346,301.699,0.961,0.000,-0.083,-0.144,-2.810,-0.892,1.713,2.091,1.190,-1.868,-1.495,-1.926,-0.000,1.983,3.803,-1.699,4.083,1.779,1.142,-1.126,-14.037,0.041,-0.873,0.004,535.048,336.269
83255.409,301.696,0.961,0.000,-0.162,-0.144,-3.026,-0.223,1.391,1.568,1.298,-1.349,-2.029,-2.675,-0.000,1.357,4.543,-2.018,4.502,1.989,0.831,0.451,-14.026,0.041,-0.883,0.003,535.048,336.269
83251.377,301.699,0.961,0.000,-0.004,-0.144,-3.675,-0.557,1.927,1.882,1.406,-1.245,-1.175,-2.782,0.112,1.983,3.381,-1.699,4.502,1.989,1.038,-0.000,-14.016,0.002,-0.883,0.002,535.048,336.269
83243.315,301.696,0.961,0.000,-0.162,0.016,-2.810,-1.115,2.034,2.300,1.298,-0.623,-1.602,-2.033,0.112,1.879,4.226,-2.867,4.502,2.512,0.934,0.338,-14.016,0.021,-0.893,0.003,535.048,336.269
